,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
0,AKX,2018-03-28,2019-05-28,426,Wednesday,546714,USD,52209,499999,221163,0.10441820883641767,4.236108716887893,0.4423268846537693,25-50,B,paguilar,davidlopez@hotmail.com,Tony Garcia,M,85
1,BYU,2016-06-25,2017-05-23,332,Saturday,213972,EUR,34976,499999,63676,0.06995213990427981,1.820562671546203,0.12735225470450942,40-50,B,paguilar,davidlopez@hotmail.com,Tony Garcia,M,85
2,KTR,2017-07-30,2019-06-24,694,Sunday,642255,USD,30353,499999,449485,0.060706121412242825,14.808585642275887,0.8989717979435959,20-40,F,paguilar,davidlopez@hotmail.com,Tony Garcia,M,85
3,AKX,2017-01-07,2017-03-11,63,Saturday,819860,USD,28315,499999,668660,0.056630113260226524,23.6150450291365,1.3373226746453493,30-45,M,paguilar,davidlopez@hotmail.com,Tony Garcia,M,85
4,AKX,2018-01-30,2019-03-27,421,Tuesday,107919,EUR,16597,500003,45944,0.033193800837194976,2.7682111224920165,0.09188744867530795,40-55,B,paguilar,davidlopez@hotmail.com,Tony Garcia,M,85
5,GRZ,2016-04-11,2017-10-06,543,Monday,202175,USD,43021,500001,61737,0.08604182791634417,1.435043350921643,0.12347375305249389,25-45,F,paguilar,davidlopez@hotmail.com,Tony Garcia,M,85
6,GRZ,2017-03-28,2017-10-31,217,Tuesday,46577,EUR,27356,499996,30738,0.0547124376995016,1.1236291855534435,0.06147649181193449,40-45,M,sjohnson,douglasmurphy@burnett.com,Devin Hamilton,M,42
7,AKX,2018-10-03,2018-12-10,68,Wednesday,862083,USD,84996,500000,364236,0.169992,4.285331074403501,0.728472,35-40,F,sjohnson,douglasmurphy@burnett.com,Devin Hamilton,M,42
8,KTR,2018-01-01,2019-11-05,673,Monday,586811,GPB,35799,499999,128024,0.07159814319628639,3.5761892790301406,0.2560485120970242,35-50,B,sjohnson,douglasmurphy@burnett.com,Devin Hamilton,M,42
9,BYU,2016-07-30,2018-02-02,552,Saturday,620511,USD,27289,499998,184314,0.05457821831287325,6.754150023819121,0.36862947451789807,25-35,M,brandon79,kimberly40@gmail.com,Emily Santos,F,18
10,AKX,2016-08-11,2018-10-13,793,Thursday,644340,USD,46933,499999,305541,0.09386618773237547,6.510152770971385,0.6110832221664443,35-55,B,brandon79,kimberly40@gmail.com,Emily Santos,F,18
11,KTR,2017-08-12,2019-11-30,840,Saturday,63088,USD,50181,500002,13038,0.10036159855360578,0.2598194535780475,0.026075895696417214,25-30,B,brandon79,kimberly40@gmail.com,Emily Santos,F,18
12,AKX,2016-11-07,2018-06-24,594,Monday,925821,GPB,73972,499999,110954,0.1479442958885918,1.4999459254853187,0.22190844381688762,35-45,B,brandon79,kimberly40@gmail.com,Emily Santos,F,18
13,AKX,2017-10-20,2018-08-27,311,Friday,35295,USD,67714,500000,3940,0.135428,0.05818589951856337,0.00788,25-45,M,brandon79,kimberly40@gmail.com,Emily Santos,F,18
14,BYU,2017-08-20,2018-11-27,464,Sunday,556424,GPB,81697,499999,290081,0.16339432678865357,3.550693415914905,0.5801631603263206,40-60,B,brandon79,kimberly40@gmail.com,Emily Santos,F,18
15,BYU,2018-01-03,2019-03-10,431,Wednesday,806501,GPB,30394,500002,390678,0.060787756848972606,12.853786931631243,0.7813528745885017,45-70,M,millerlauren,mark20@gmail.com,Caitlin Smith,F,60
16,GRZ,2017-01-22,2018-06-12,506,Sunday,839058,GPB,41741,500000,91249,0.083482,2.1860760403440263,0.182498,25-45,M,millerlauren,mark20@gmail.com,Caitlin Smith,F,60
17,AKX,2016-06-19,2017-06-13,359,Sunday,829240,GPB,46874,499997,111574,0.09374856249137495,2.3802961129837437,0.2231493388960334,35-45,F,millerlauren,mark20@gmail.com,Caitlin Smith,F,60
18,BYU,2018-08-03,2019-03-11,220,Friday,504634,EUR,24077,500000,252203,0.048154,10.474851518046268,0.504406,35-45,F,millerlauren,mark20@gmail.com,Caitlin Smith,F,60
19,GRZ,2017-08-03,2019-02-01,547,Thursday,680311,EUR,15152,499999,406625,0.030304060608121217,26.836391235480466,0.813251626503253,40-45,F,millerlauren,mark20@gmail.com,Caitlin Smith,F,60
20,GRZ,2017-07-15,2019-01-26,560,Saturday,414606,EUR,38355,500001,157473,0.07670984658030684,4.105670707860774,0.31494537010925977,25-35,B,millerlauren,mark20@gmail.com,Caitlin Smith,F,60
21,KTR,2016-03-09,2016-10-18,223,Wednesday,996030,EUR,31277,500001,317517,0.06255387489225021,10.151772868241839,0.6350327299345402,40-50,B,millerlauren,mark20@gmail.com,Caitlin Smith,F,60
22,BYU,2018-01-03,2019-12-21,717,Wednesday,22036,EUR,44406,500000,21633,0.088812,0.48716389677070665,0.043266,20-25,F,taylorgina,uarmstrong@yahoo.com,Lisa Gonzalez,F,69
23,GRZ,2017-05-31,2018-06-18,383,Wednesday,262846,EUR,22983,500005,27598,0.04596554034459655,1.2008005917417222,0.05519544804551955,25-30,F,taylorgina,uarmstrong@yahoo.com,Lisa Gonzalez,F,69
24,BYU,2018-05-02,2018-09-27,148,Wednesday,726298,EUR,60165,500001,648655,0.12032975934048132,10.781268179173939,1.2973074053851892,40-45,M,taylorgina,uarmstrong@yahoo.com,Lisa Gonzalez,F,69
25,AKX,2017-06-21,2019-04-06,654,Wednesday,129532,EUR,44772,500001,114569,0.08954382091235817,2.5589430894308944,0.22913754172491654,20-25,F,mgarcia,istephens@kelley.com,Christopher Howell,M,65
26,AKX,2017-06-03,2018-01-23,234,Saturday,103160,EUR,50352,499999,50731,0.10070420140840282,1.0075270098506515,0.10146220292440584,45-50,F,mgarcia,istephens@kelley.com,Christopher Howell,M,65
27,KTR,2017-11-18,2019-07-04,593,Saturday,588841,EUR,75894,500001,244317,0.15178769642460715,3.2191872875326113,0.48863302273395454,25-45,F,mgarcia,istephens@kelley.com,Christopher Howell,M,65
28,GRZ,2016-08-26,2017-05-03,250,Friday,221222,EUR,23017,500003,78593,0.04603372379765722,3.414563148976843,0.15718505688965867,20-40,B,mgarcia,istephens@kelley.com,Christopher Howell,M,65
29,AKX,2017-02-26,2018-03-17,384,Sunday,882174,USD,33725,500002,629383,0.0674497302010792,18.6622090437361,1.2587609649561402,40-60,M,mgarcia,istephens@kelley.com,Christopher Howell,M,65
30,AKX,2016-05-29,2017-08-25,453,Sunday,998828,GPB,65198,499998,615429,0.13039652158608633,9.439384643700727,1.230862923451694,35-55,F,mgarcia,istephens@kelley.com,Christopher Howell,M,65
31,BYU,2017-08-11,2018-02-09,182,Friday,458895,EUR,36346,499997,445825,0.07269243615461693,12.266136576239477,0.8916553499320996,20-25,B,christopherfowler,umurphy@martinez.com,Jeffery Coleman,M,26
32,GRZ,2017-10-04,2018-05-20,228,Wednesday,944380,EUR,90132,499998,691333,0.18026472105888425,7.670228109883283,1.3826715306861228,25-35,B,christopherfowler,umurphy@martinez.com,Jeffery Coleman,M,26
33,AKX,2017-06-23,2018-09-04,438,Friday,460470,EUR,37783,499996,337577,0.07556660453283626,8.934626683958394,0.6751594012752102,40-55,F,christopherfowler,umurphy@martinez.com,Jeffery Coleman,M,26
34,BYU,2016-06-14,2016-10-30,138,Tuesday,678826,GPB,33489,500003,670612,0.06697759813441119,20.024843978619845,1.3412159527042837,40-55,F,christopherfowler,umurphy@martinez.com,Jeffery Coleman,M,26
35,AKX,2016-12-19,2018-01-15,392,Monday,795899,GPB,11456,500005,544552,0.022911770882291176,47.534217877094974,1.0890931090689093,40-55,F,christopherfowler,umurphy@martinez.com,Jeffery Coleman,M,26
36,BYU,2016-02-08,2017-02-18,376,Monday,808438,EUR,37658,500002,190495,0.07531569873720505,5.05855329544851,0.3809884760460958,35-45,M,christopherfowler,umurphy@martinez.com,Jeffery Coleman,M,26
37,BYU,2018-05-04,2019-01-24,265,Friday,969959,EUR,15166,500003,727987,0.030331818009091946,48.001252802320984,1.4559652642084147,30-35,B,christopherfowler,umurphy@martinez.com,Jeffery Coleman,M,26
38,KTR,2018-01-22,2018-08-06,196,Monday,946821,USD,37202,499998,492027,0.07440429761719047,13.22582119240901,0.984057936231745,40-45,B,ymontes,ashley01@hotmail.com,Julie Richardson,F,25
39,KTR,2016-04-22,2016-02-12,-70,Friday,545215,GPB,34232,500004,194165,0.06846345229238165,5.672032016826361,0.38832689338485293,25-45,M,ymontes,ashley01@hotmail.com,Julie Richardson,F,25
